"DateTime","Elec","Cool","Heat"
2018-08-01 00:00:00,393,118.2114,450
2018-08-01 01:00:00,313,93.83199,120
2018-08-01 02:00:00,313,38.83566,280
2018-08-01 03:00:00,300,33.84834,280
2018-08-01 04:00:00,308,75.71225,160
2018-08-01 05:00:00,296,39.06018,290
2018-08-01 06:00:00,324,101.7182,120
2018-08-01 07:00:00,348,103.072,290
2018-08-01 08:00:00,408,91.1058,530
2018-08-01 09:00:00,413,100.969,580
2018-08-01 10:00:00,421,124.8386,290
2018-08-01 11:00:00,432,157.9332,280
2018-08-01 12:00:00,440,156.6089,280
2018-08-01 13:00:00,439,152.8505,450
2018-08-01 14:00:00,437,152.4086,290
2018-08-01 15:00:00,437,143.1473,280
2018-08-01 16:00:00,434,132.4456,280
2018-08-01 17:00:00,438,143.3008,290
2018-08-01 18:00:00,433,148.7041,280
2018-08-01 19:00:00,423,157.4504,290
2018-08-01 20:00:00,415,141.2612,450
2018-08-01 21:00:00,413,104.4927,280
2018-08-01 22:00:00,407,103.1233,410
2018-08-01 23:00:00,404,93.78223,400
2018-08-02 00:00:00,392,84.35083,290
2018-08-02 01:00:00,320,69.59601,280
2018-08-02 02:00:00,316,26.0106,160
2018-08-02 03:00:00,301,17.95756,130
2018-08-02 04:00:00,307,55.00431,280
2018-08-02 05:00:00,295,20.85509,290
2018-08-02 06:00:00,328,74.96101,280
2018-08-02 07:00:00,347,92.71628,290
2018-08-02 08:00:00,405,93.60513,530
2018-08-02 09:00:00,411,99.63513,410
2018-08-02 10:00:00,415,101.2355,290
2018-08-02 11:00:00,425,144.1326,450
2018-08-02 12:00:00,427,133.2963,290
2018-08-02 13:00:00,420,134.4563,280
2018-08-02 14:00:00,426,144.1514,290
2018-08-02 15:00:00,431,134.4677,280
2018-08-02 16:00:00,433,124.2913,300
2018-08-02 17:00:00,439,131.7048,280
2018-08-02 18:00:00,433,154.8551,290
2018-08-02 19:00:00,424,170.808,280
2018-08-02 20:00:00,423,153.0746,280
2018-08-02 21:00:00,415,109.5405,450
2018-08-02 22:00:00,410,109.4192,290
2018-08-02 23:00:00,405,101.8511,410
2018-08-03 00:00:00,393,89.93384,440
2018-08-03 01:00:00,312,73.20921,120
2018-08-03 02:00:00,307,25.52438,130
