"DateTime","Elec","Cool","Heat"
2018-08-01 00:00:00,764,883.7637,1600
2018-08-01 01:00:00,720,819.6095,1650
2018-08-01 02:00:00,760,861.9139,1770
2018-08-01 03:00:00,756,851.6848,1750
2018-08-01 04:00:00,752,843.2693,1810
2018-08-01 05:00:00,752,828.4092,2030
2018-08-01 06:00:00,752,736.2612,1730
2018-08-01 07:00:00,756,694.8335,2000
2018-08-01 08:00:00,756,701.3867,1820
2018-08-01 09:00:00,764,724.4204,1510
2018-08-01 10:00:00,764,739.4526,1740
2018-08-01 11:00:00,764,751.4795,1820
2018-08-01 12:00:00,804,810.3535,1830
2018-08-01 13:00:00,792,813.6143,1440
2018-08-01 14:00:00,804,807.915,1690
2018-08-01 15:00:00,812,815.8965,1830
2018-08-01 16:00:00,804,805.0078,1630
2018-08-01 17:00:00,816,824.2666,1410
2018-08-01 18:00:00,796,817.0674,1770
2018-08-01 19:00:00,792,817.4336,1600
2018-08-01 20:00:00,784,806.8564,1680
2018-08-01 21:00:00,784,788.1084,1770
2018-08-01 22:00:00,792,769.1602,1660
2018-08-01 23:00:00,792,755.8809,1560
2018-08-02 00:00:00,788,754.5645,1600
2018-08-02 01:00:00,744,714.0294,1750
2018-08-02 02:00:00,788,743.9008,1750
2018-08-02 03:00:00,780,733.6035,1670
2018-08-02 04:00:00,780,737.1304,1760
2018-08-02 05:00:00,776,738.6038,1750
2018-08-02 06:00:00,776,727.7664,1760
2018-08-02 07:00:00,772,730.9624,2140
2018-08-02 08:00:00,772,721.2163,1920
2018-08-02 09:00:00,808,744.1924,1860
2018-08-02 10:00:00,820,773.0669,1760
2018-08-02 11:00:00,812,787.5132,2000
2018-08-02 12:00:00,804,796.7285,1580
2018-08-02 13:00:00,804,798.4043,1840
2018-08-02 14:00:00,816,797.5234,1840
2018-08-02 15:00:00,816,795.7041,1610
2018-08-02 16:00:00,824,795.0498,1720
2018-08-02 17:00:00,808,812.1465,1410
2018-08-02 18:00:00,784,829.5928,1750
2018-08-02 19:00:00,780,821.9961,1590
2018-08-02 20:00:00,780,810.2012,1500
2018-08-02 21:00:00,780,813.5938,1730
2018-08-02 22:00:00,780,826.5273,1730
2018-08-02 23:00:00,776,813.4219,1590
2018-08-03 00:00:00,776,804.6133,1720
2018-08-03 01:00:00,736,767.745,1580
2018-08-03 02:00:00,772,844.6183,1750
2018-08-03 03:00:00,772,844.3882,1800
2018-08-03 04:00:00,768,836.5146,1870
2018-08-03 05:00:00,768,825.9048,1740
2018-08-03 06:00:00,764,811.9453,1990
2018-08-03 07:00:00,768,804.6816,1930
2018-08-03 08:00:00,776,798.1479,2020
2018-08-03 09:00:00,780,823.2788,1890
2018-08-03 10:00:00,788,843.3643,1860
2018-08-03 11:00:00,784,817.9961,1730
2018-08-03 12:00:00,800,817.3389,1660
2018-08-03 13:00:00,776,816.8916,1420
2018-08-03 14:00:00,796,811.0771,1640
2018-08-03 15:00:00,792,820.8379,1400
2018-08-03 16:00:00,800,819.3047,1420
2018-08-03 17:00:00,796,829.9316,1480
2018-08-03 18:00:00,780,835.7227,1230
2018-08-03 19:00:00,780,827.0361,1330
2018-08-03 20:00:00,776,828.7158,1550
2018-08-03 21:00:00,776,822.2129,1300
2018-08-03 22:00:00,776,843.1563,1590
2018-08-03 23:00:00,780,900.3672,1490
2018-08-04 00:00:00,780,887.9629,1400
2018-08-04 01:00:00,732,847.22,1240
2018-08-04 02:00:00,772,892.2987,1670
2018-08-04 03:00:00,764,889.1913,1560
2018-08-04 04:00:00,768,881.1821,1560
2018-08-04 05:00:00,768,866.8887,1650
2018-08-04 06:00:00,764,864.3779,1610
2018-08-04 07:00:00,760,856.647,1570
2018-08-04 08:00:00,732,856.249,1650
2018-08-04 09:00:00,724,849.1719,1900
2018-08-04 10:00:00,720,849.0322,1420
2018-08-04 11:00:00,708,852.5537,1660
2018-08-04 12:00:00,700,815.7783,1410
2018-08-04 13:00:00,712,833.0537,1670
2018-08-04 14:00:00,720,830.7363,1490
2018-08-04 15:00:00,716,826.0801,1510
2018-08-04 16:00:00,724,821.0273,1420
2018-08-04 17:00:00,724,837.6445,1400
2018-08-04 18:00:00,720,819.123,1400
2018-08-04 19:00:00,720,854.125,1490
2018-08-04 20:00:00,728,875.3008,1410
2018-08-04 21:00:00,720,864.6016,1250
2018-08-04 22:00:00,728,836.9668,1680
2018-08-04 23:00:00,720,842.5859,1640
2018-08-05 00:00:00,724,839.4941,1440
2018-08-05 01:00:00,684,789.0549,1380
2018-08-05 02:00:00,716,833.2979,1660
2018-08-05 03:00:00,716,832.5852,1680
2018-08-05 04:00:00,716,844.6362,1650
2018-08-05 05:00:00,712,841.3037,1810
2018-08-05 06:00:00,712,846.4731,1670
2018-08-05 07:00:00,712,839.3442,1810
2018-08-05 08:00:00,700,831.5879,1690
2018-08-05 09:00:00,704,853.5103,1690
2018-08-05 10:00:00,708,859.7085,1680
2018-08-05 11:00:00,712,865.6367,1650
2018-08-05 12:00:00,704,836.5371,1430
2018-08-05 13:00:00,716,827.9863,1570
2018-08-05 14:00:00,712,837.4199,1560
2018-08-05 15:00:00,708,805.1709,1320
2018-08-05 16:00:00,720,806.8369,1580
2018-08-05 17:00:00,724,789.6445,1400
2018-08-05 18:00:00,724,830.6152,1430
2018-08-05 19:00:00,740,832.1211,1400
2018-08-05 20:00:00,724,829.9004,1470
2018-08-05 21:00:00,724,830.4004,1410
2018-08-05 22:00:00,732,840.5098,1410
2018-08-05 23:00:00,720,845.1719,1670
2018-08-06 00:00:00,724,850.5605,1500
2018-08-06 01:00:00,676,813.4346,1410
2018-08-06 02:00:00,716,863.924,1570
2018-08-06 03:00:00,724,867.6508,1640
2018-08-06 04:00:00,708,864.1055,1810
2018-08-06 05:00:00,720,854.8618,1580
2018-08-06 06:00:00,712,847.5513,1560
2018-08-06 07:00:00,708,827.8696,1660
2018-08-06 08:00:00,712,827.2441,1670
2018-08-06 09:00:00,732,837.0049,1840
2018-08-06 10:00:00,736,814.3975,1590
2018-08-06 11:00:00,716,815.7021,1740
2018-08-06 12:00:00,716,770.415,1420
2018-08-06 13:00:00,720,806.2734,1410
2018-08-06 14:00:00,740,822.0381,1490
2018-08-06 15:00:00,740,829.8271,1420
2018-08-06 16:00:00,732,832.2217,1660
2018-08-06 17:00:00,724,854.3438,1250
2018-08-06 18:00:00,720,861.2402,1390
2018-08-06 19:00:00,720,873.0391,1330
2018-08-06 20:00:00,720,873.5996,1390
2018-08-06 21:00:00,720,870.2832,1630
2018-08-06 22:00:00,724,858.8164,1330
2018-08-06 23:00:00,724,863.5996,1590
2018-08-07 00:00:00,720,858.8613,1390
2018-08-07 01:00:00,680,805.4449,1410
2018-08-07 02:00:00,720,843.0458,1640
2018-08-07 03:00:00,716,837.7832,1660
2018-08-07 04:00:00,712,833.9661,1580
2018-08-07 05:00:00,716,829.9114,1490
2018-08-07 06:00:00,708,822.625,1690
2018-08-07 07:00:00,716,821.1138,1700
2018-08-07 08:00:00,720,824.606,1840
2018-08-07 09:00:00,716,835.8579,1780
2018-08-07 10:00:00,720,815.3022,1680
2018-08-07 11:00:00,716,813.748,1490
2018-08-07 12:00:00,720,811.4209,1590
2018-08-07 13:00:00,712,779.1152,1400
2018-08-07 14:00:00,728,824.8232,1310
2018-08-07 15:00:00,740,835.918,1600
2018-08-07 16:00:00,736,833.9648,1490
2018-08-07 17:00:00,732,844.1836,1350
2018-08-07 18:00:00,724,846.2656,1360
2018-08-07 19:00:00,724,867.6982,1400
2018-08-07 20:00:00,728,878.7178,1510
2018-08-07 21:00:00,724,858.4844,1390
2018-08-07 22:00:00,732,844.4609,1650
2018-08-07 23:00:00,728,832.2266,1480
2018-08-08 00:00:00,728,840.4883,1480
2018-08-08 01:00:00,688,797.556,1670
2018-08-08 02:00:00,724,863.4203,1400
2018-08-08 03:00:00,720,862.1721,1420
2018-08-08 04:00:00,720,849.5425,1820
2018-08-08 05:00:00,716,869.2983,1570
2018-08-08 06:00:00,716,864.144,1590
2018-08-08 07:00:00,716,860.1929,1650
2018-08-08 08:00:00,720,859.1772,1590
2018-08-08 09:00:00,732,843.5278,1610
2018-08-08 10:00:00,744,848.3164,1650
2018-08-08 11:00:00,760,854.0205,1590
2018-08-08 12:00:00,752,854.8545,1680
2018-08-08 13:00:00,736,830.6133,1650
2018-08-08 14:00:00,748,837.4609,1410
2018-08-08 15:00:00,768,830.6621,1570
2018-08-08 16:00:00,756,837.8398,1590
2018-08-08 17:00:00,748,842.8242,1430
2018-08-08 18:00:00,744,863.4531,1210
2018-08-08 19:00:00,736,850.416,1320
2018-08-08 20:00:00,736,843.9805,1680
2018-08-08 21:00:00,740,817.7441,1340
2018-08-08 22:00:00,748,820.166,1470
2018-08-08 23:00:00,740,867.5215,1760
2018-08-09 00:00:00,740,886.7305,1350
2018-08-09 01:00:00,700,843.468,1680
2018-08-09 02:00:00,732,850.721,1630
2018-08-09 03:00:00,728,854.6555,1570
2018-08-09 04:00:00,720,866.9744,1500
2018-08-09 05:00:00,728,865.4771,1750
2018-08-09 06:00:00,720,857.5757,1660
2018-08-09 07:00:00,732,843.3511,1720
2018-08-09 08:00:00,736,838.8145,1690
2018-08-09 09:00:00,740,842.3066,1690
2018-08-09 10:00:00,740,802.8164,1570
2018-08-09 11:00:00,736,821.7871,1690
2018-08-09 12:00:00,740,855.4688,1360
2018-08-09 13:00:00,736,847.1406,1490
2018-08-09 14:00:00,748,855.0469,1510
2018-08-09 15:00:00,744,857.8193,1380
2018-08-09 16:00:00,740,829.877,1240
2018-08-09 17:00:00,736,840.8076,1300
2018-08-09 18:00:00,732,831.0078,1630
2018-08-09 19:00:00,732,839.2188,1330
2018-08-09 20:00:00,728,841.5996,1410
2018-08-09 21:00:00,736,847.748,1580
2018-08-09 22:00:00,748,910.9355,1570
2018-08-09 23:00:00,748,902.2852,1650
2018-08-10 00:00:00,740,896.7031,1210
2018-08-10 01:00:00,688,839.6984,1550
2018-08-10 02:00:00,728,880.9793,1310
2018-08-10 03:00:00,728,882.7861,1640
2018-08-10 04:00:00,720,881.2488,1630
2018-08-10 05:00:00,720,883.1218,1380
2018-08-10 06:00:00,720,872.0942,1490
2018-08-10 07:00:00,720,868.3281,1710
2018-08-10 08:00:00,724,869.0781,1750
2018-08-10 09:00:00,736,867.4434,1570
2018-08-10 10:00:00,736,850.1729,1650
2018-08-10 11:00:00,732,842.1777,1470
2018-08-10 12:00:00,744,843.3887,1690
2018-08-10 13:00:00,728,825.3242,1620
2018-08-10 14:00:00,732,822.9219,1310
2018-08-10 15:00:00,752,813.0254,1650
2018-08-10 16:00:00,736,815.627,1230
2018-08-10 17:00:00,728,823.8379,1470
2018-08-10 18:00:00,716,828.0547,1480
2018-08-10 19:00:00,716,825.7988,1240
2018-08-10 20:00:00,716,835.7871,1470
2018-08-10 21:00:00,728,845.125,1680
2018-08-10 22:00:00,736,854.0586,1560
2018-08-10 23:00:00,728,869.416,1500
2018-08-11 00:00:00,724,849.8867,1580
2018-08-11 01:00:00,688,831.1487,1580
2018-08-11 02:00:00,716,851.6025,1400
2018-08-11 03:00:00,712,838.7217,1490
2018-08-11 04:00:00,712,819.8982,1560
2018-08-11 05:00:00,708,815.6035,1690
2018-08-11 06:00:00,708,814.0493,1740
2018-08-11 07:00:00,716,813.2642,1660
2018-08-11 08:00:00,696,817.9658,1590
2018-08-11 09:00:00,696,821.4795,1620
